Employer,Provider,Our_Recordkeeper,Our_Matched_Employer,Our_Confidence,Our_Match_Method,Our_Tool_Result,Providers_Agree,Compare_Note
Brookdale,Florida Retirement System (FRS),Principal,BROOKDALE SENIOR LIVING INC.,High,word_boundary,"Recordkeeper: Principal | Matched employer: BROOKDALE SENIOR LIVING INC. | Confidence: High (96%) | Match method: word_boundary | Plan: BROOKDALE SENIOR LIVING INC. 401(K) RETIREMENT SAVINGS PLAN | Participants: 42,507 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Titan security group,401k Generation,Ascensus,"TITAN SECURITY SERVICES, INC.",High,word_boundary,"Recordkeeper: Ascensus | Matched employer: TITAN SECURITY SERVICES, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: TITAN SECURITY SERVICES PENSION PLAN | Participants: 1,870 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Dayton Regional Dialysis,Matrix Trust Co,No match found,,none,,No match found for input: Dayton Regional Dialysis,False,our_no_match
Mastronardi produce,Mastronardi produce,Fidelity Investments,MASTRONARDI PRODUCE - USA INC.,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: MASTRONARDI PRODUCE - USA INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MASTRONARDI PRODUCE - USA 401(K) PLAN | Participants: 1,983 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Weather panel,Fidelity,No match found,,none,,No match found for input: Weather panel,False,our_no_match
Wegmans,Wegmans,Fidelity Investments,WEGMANS FOOD MARKETS INC.,High,word_boundary,"Recordkeeper: Fidelity Investments | Matched employer: WEGMANS FOOD MARKETS INC. | Confidence: High (96%) | Match method: word_boundary | Plan: THE WEGMANS RETIREMENT PLANS | Participants: 52,123 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Burlington coat factory,ADP,Empower Retirement,BURLINGTON COAT FACTORY WAREHOUSE CORPORATION,High,word_boundary,"Recordkeeper: Empower Retirement | Matched employer: BURLINGTON COAT FACTORY WAREHOUSE CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: BURLINGTON STORES SAVINGS PLAN | Participants: 60,651 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Villas of holy brook,ADP,No match found,,none,,No match found for input: Villas of holy brook,False,our_no_match
Cvs,401k Generation,Vanguard,CVS HEALTH CORPORATION,High,word_boundary,"Recordkeeper: Vanguard | Matched employer: CVS HEALTH CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: CVS HEALTH FUTURE FUND 401(K) PLAN | Participants: 307,068 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Fox Tires,Paychex,No match found,,none,,No match found for input: Fox Tires,False,our_no_match
King Tires,ADP,No match found,,none,,No match found for input: King Tires,False,our_no_match
Enterprise Holdings,ADP,Voya,"BEST BUY ENTERPRISE SERVICES, INC.",High,word_boundary,"Recordkeeper: Voya | Matched employer: BEST BUY ENTERPRISE SERVICES, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: BEST BUY RETIREMENT SAVINGS PLAN | Participants: 111,163 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Eden Roc Management LLC,ADP,Empower Retirement,EDEN ROC MANAGEMENT LLC,High,exact_normalized,Recordkeeper: Empower Retirement | Matched employer: EDEN ROC MANAGEMENT LLC | Confidence: High (100%) | Match method: exact_normalized | Plan: EDEN ROC MANAGEMENT LLC 401(K) PLAN | Participants: 155 | Plan year: 2023 | Reason: The normalized input exactly matched the normalized DOL employer name.,False,mismatch
SAINT THOMAS UNIVERSITY,ADP,TIAA-CREF,THOMAS UNIVERSITY,High,fuzzy,"Recordkeeper: TIAA-CREF | Matched employer: THOMAS UNIVERSITY | Confidence: High (95%) | Match method: fuzzy | Plan: THOMAS UNIVERSITY, INC. RETIREMENT PLAN | Participants: 316 | Plan year: 2022 | Reason: Listed on Schedule C Part 1 (eligible service providers on the filing). For some large plans the recordkeeper is also named in the Notes to Financial Statements attached to Schedule H (not available in DOL CSV extracts). This is separate from the Schedule C Part 1 Item 2 compensation table with service codes 15/64. Provider on filing: TIAA-CREF.",False,mismatch
Ownesandminor,Fidelity,No match found,,none,,No match found for input: Ownesandminor,False,our_no_match
aequor,JP Morgan Chase,ADP,"AEQUOR TECHNOLOGIES, LLC",High,word_boundary,"Recordkeeper: ADP | Matched employer: AEQUOR TECHNOLOGIES, LLC | Confidence: High (96%) | Match method: word_boundary | Plan: AEQUOR 401(K) PLAN | Participants: 1,053 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Yamaha precision propeller,Principal,No match found,,none,,No match found for input: Yamaha precision propeller,False,our_no_match
