Employer,Provider,Our_Recordkeeper,Our_Matched_Employer,Our_Confidence,Our_Match_Method,Our_Tool_Result,Providers_Agree,Compare_Note
Vensure Employer Services,Slavic,SLAVIC INTEGRATED ADMINISTRATION,"VENSURE EMPLOYER SERVICES, INC.",High,exact_normalized,"Recordkeeper: SLAVIC INTEGRATED ADMINISTRATION | Matched employer: VENSURE EMPLOYER SERVICES, INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: VENSURE EMPLOYER SERVICES, INC. 401(K) PROFIT SHARING PLAN | Participants: 43,373 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",True,equivalent
Brookdale,Florida Retirement System (FRS),Principal,BROOKDALE SENIOR LIVING INC.,High,word_boundary,"Recordkeeper: Principal | Matched employer: BROOKDALE SENIOR LIVING INC. | Confidence: High (96%) | Match method: word_boundary | Plan: BROOKDALE SENIOR LIVING INC. 401(K) RETIREMENT SAVINGS PLAN | Participants: 42,507 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Titan security group,401k Generation,Ascensus,"TITAN SECURITY SERVICES, INC.",High,word_boundary,"Recordkeeper: Ascensus | Matched employer: TITAN SECURITY SERVICES, INC. | Confidence: High (96%) | Match method: word_boundary | Plan: TITAN SECURITY SERVICES PENSION PLAN | Participants: 1,870 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Sprouts farmers market,Lincoln Financial,Lincoln Financial,"RONALD COHN, INC.",High,plan_word_boundary,"Recordkeeper: Lincoln Financial | Matched employer: RONALD COHN, INC. | Confidence: High (94%) | Match method: plan_word_boundary | Plan: SPROUTS FARMERS MARKET 401(K) PLAN | Participants: 176 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL plan name.",True,equivalent
Dayton Regional Dialysis,Matrix Trust Co,No match found,,none,,No match found for input: Dayton Regional Dialysis,False,our_no_match
Mastronardi produce,Mastronardi produce,Fidelity Investments,MASTRONARDI PRODUCE - USA INC.,High,exact_normalized,"Recordkeeper: Fidelity Investments | Matched employer: MASTRONARDI PRODUCE - USA INC. | Confidence: High (100%) | Match method: exact_normalized | Plan: MASTRONARDI PRODUCE - USA 401(K) PLAN | Participants: 1,983 | Plan year: 2024 | Reason: The normalized input exactly matched the normalized DOL employer name.",False,mismatch
Weather panel,Fidelity,No match found,,none,,No match found for input: Weather panel,False,our_no_match
Sewell,Vanguard,Vanguard,"SEWELL VILLAGE CADILLAC COMPANY, INC",High,word_boundary,"Recordkeeper: Vanguard | Matched employer: SEWELL VILLAGE CADILLAC COMPANY, INC | Confidence: High (96%) | Match method: word_boundary | Plan: SEWELL AUTOMOTIVE COMPANIES 401(K) RETIREMENT SAVINGS PLAN | Participants: 4,542 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",True,equivalent
Wegmans,Wegmans,Fidelity Investments,WEGMANS FOOD MARKETS INC.,High,word_boundary,"Recordkeeper: Fidelity Investments | Matched employer: WEGMANS FOOD MARKETS INC. | Confidence: High (96%) | Match method: word_boundary | Plan: THE WEGMANS RETIREMENT PLANS | Participants: 52,123 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
Burlington coat factory,ADP,Empower Retirement,BURLINGTON COAT FACTORY WAREHOUSE CORPORATION,High,word_boundary,"Recordkeeper: Empower Retirement | Matched employer: BURLINGTON COAT FACTORY WAREHOUSE CORPORATION | Confidence: High (96%) | Match method: word_boundary | Plan: BURLINGTON STORES SAVINGS PLAN | Participants: 60,651 | Plan year: 2024 | Reason: The normalized input appeared as a full-word phrase inside the DOL employer name.",False,mismatch
